id,category,section,name,version,filename,path,created_at,tags,description,source_code_reference
ebce183e-182f-45e4-9195-cd4f2511032e,figure,causal_inference,causal_forest_results,v1.0,causal_inference__causal_forest_results__v1.0.png,figures/causal_inference__causal_forest_results__v1.0.png,2025-09-17T01:08:31.694907Z,['causal_inference'],Imported existing figure from figures/causal_forest_results.png,
613a1027-f752-4a6c-8a17-92453c0dd36e,figure,forecasting,lstm_training_history,v1.0,forecasting__lstm_training_history__v1.0.png,figures/forecasting__lstm_training_history__v1.0.png,2025-09-17T01:08:31.704894Z,['forecasting'],Imported existing figure from figures/lstm_training_history.png,
69f08f8b-3ff8-4909-8665-7b0db25e46bd,figure,general,dml_analysis_results,v1.0,general__dml_analysis_results__v1.0.png,figures/general__dml_analysis_results__v1.0.png,2025-09-17T01:08:31.707083Z,['general'],Imported existing figure from figures/dml_analysis_results.png,
f56790ca-60ac-45b8-9f47-7821db69c641,figure,policy_analysis,hybrid_policy_analysis_comprehensive,v1.0,policy_analysis__hybrid_policy_analysis_comprehensive__v1.0.png,figures/policy_analysis__hybrid_policy_analysis_comprehensive__v1.0.png,2025-09-17T01:08:31.714620Z,['policy_analysis'],Imported existing figure from figures/hybrid_policy_analysis_comprehensive.png,
57efabae-f591-4bd9-b8ce-adf4932f2362,figure,general,figure3_hybrid_model_results,v1.0,general__figure3_hybrid_model_results__v1.0.png,figures/general__figure3_hybrid_model_results__v1.0.png,2025-09-17T01:08:31.721138Z,['general'],Imported existing figure from exports/figure3_hybrid_model_results.png,
f36a8786-f535-4978-97f4-863fbab0005a,figure,policy_analysis,interactive_vat_5.0percent_analysis,v1.0,policy_analysis__interactive_vat_5.0percent_analysis__v1.0.png,figures/policy_analysis__interactive_vat_5.0percent_analysis__v1.0.png,2025-09-17T01:08:31.727681Z,['policy_analysis'],Imported existing figure from exports/interactive_vat_5.0percent_analysis.png,
bfb1a9d1-a974-49ca-a853-c26504160a9b,figure,general,figure1_model_architecture,v1.0,general__figure1_model_architecture__v1.0.png,figures/general__figure1_model_architecture__v1.0.png,2025-09-17T01:08:31.729749Z,['general'],Imported existing figure from exports/figure1_model_architecture.png,
d15d6fe1-3081-40cb-9522-e4c3a6c659fa,figure,general,figure2_economic_data_overview,v1.0,general__figure2_economic_data_overview__v1.0.png,figures/general__figure2_economic_data_overview__v1.0.png,2025-09-17T01:08:31.732048Z,['general'],Imported existing figure from exports/figure2_economic_data_overview.png,
cfcc7542-cb77-45ee-8707-fb731d455a8b,figure,policy_analysis,final_policy_impact_analysis,v1.0,policy_analysis__final_policy_impact_analysis__v1.0.png,figures/policy_analysis__final_policy_impact_analysis__v1.0.png,2025-09-17T01:08:31.738172Z,['policy_analysis'],Imported existing figure from exports/final_policy_impact_analysis.png,
a3e3394a-1b2f-4c0c-88c4-df086d5cf786,table,model_evaluation,stability_analysis,v1.0,model_evaluation__stability_analysis__v1.0.csv,tables/model_evaluation__stability_analysis__v1.0.csv,2025-09-17T01:08:31.740116Z,['model_evaluation'],Imported existing table from exports/stability_analysis.csv,
c2c53f58-f26d-444f-920e-70b4cc313489,table,policy_analysis,vat_increase_scenario_analysis,v1.0,policy_analysis__vat_increase_scenario_analysis__v1.0.csv,tables/policy_analysis__vat_increase_scenario_analysis__v1.0.csv,2025-09-17T01:08:31.741805Z,['policy_analysis'],Imported existing table from exports/vat_increase_scenario_analysis.csv,
42f8939d-66f2-4989-8f34-a2af4fe56058,table,model_evaluation,table2_model_performance,v1.0,model_evaluation__table2_model_performance__v1.0.csv,tables/model_evaluation__table2_model_performance__v1.0.csv,2025-09-17T01:08:31.744419Z,['model_evaluation'],Imported existing table from exports/table2_model_performance.csv,
bb9eaef3-16b7-4940-a80c-981b5467af8f,table,model_evaluation,model_performance_comparison,v1.0,model_evaluation__model_performance_comparison__v1.0.csv,tables/model_evaluation__model_performance_comparison__v1.0.csv,2025-09-17T01:08:31.746346Z,['model_evaluation'],Imported existing table from exports/model_performance_comparison.csv,
6345af33-dbd6-433a-b776-3be96a69623a,table,policy_analysis,table3_policy_impact_summary,v1.0,policy_analysis__table3_policy_impact_summary__v1.0.csv,tables/policy_analysis__table3_policy_impact_summary__v1.0.csv,2025-09-17T01:08:31.748177Z,['policy_analysis'],Imported existing table from exports/table3_policy_impact_summary.csv,
5701035c-8035-44ef-846d-ffbcbdba3ef3,table,model_evaluation,cross_validation_results,v1.0,model_evaluation__cross_validation_results__v1.0.csv,tables/model_evaluation__cross_validation_results__v1.0.csv,2025-09-17T01:08:31.749909Z,['model_evaluation'],Imported existing table from exports/cross_validation_results.csv,
81d83111-b3e1-4182-a342-f3ceee555096,table,policy_analysis,interactive_vat_5.0percent_impact,v1.0,policy_analysis__interactive_vat_5.0percent_impact__v1.0.csv,tables/policy_analysis__interactive_vat_5.0percent_impact__v1.0.csv,2025-09-17T01:08:31.751638Z,['policy_analysis'],Imported existing table from exports/interactive_vat_5.0percent_impact.csv,
7c112a12-292c-4a55-90c7-0ede2700c38a,table,general,table5_detailed_model_comparison,v1.0,general__table5_detailed_model_comparison__v1.0.csv,tables/general__table5_detailed_model_comparison__v1.0.csv,2025-09-17T01:08:31.753415Z,['general'],Imported existing table from exports/table5_detailed_model_comparison.csv,
97ba0b73-8480-4f4f-948c-e28d2ffbbebc,table,policy_analysis,policy_impact_quantification,v1.0,policy_analysis__policy_impact_quantification__v1.0.csv,tables/policy_analysis__policy_impact_quantification__v1.0.csv,2025-09-17T01:08:31.755173Z,['policy_analysis'],Imported existing table from exports/policy_impact_quantification.csv,
24c52815-c613-488a-91b9-e26aa9eb0081,table,forecasting,table4_economic_forecasts,v1.0,forecasting__table4_economic_forecasts__v1.0.csv,tables/forecasting__table4_economic_forecasts__v1.0.csv,2025-09-17T01:08:31.756983Z,['forecasting'],Imported existing table from exports/table4_economic_forecasts.csv,
0e0c9952-5864-4de4-b68b-8fe650ad1cb1,table,general,table1_descriptive_statistics,v1.0,general__table1_descriptive_statistics__v1.0.csv,tables/general__table1_descriptive_statistics__v1.0.csv,2025-09-17T01:08:31.758801Z,['general'],Imported existing table from exports/table1_descriptive_statistics.csv,
b3af5ad8-d939-4fdb-afe5-74cb82686c1e,table,forecasting,hybrid_economic_forecasts,v1.0,forecasting__hybrid_economic_forecasts__v1.0.csv,tables/forecasting__hybrid_economic_forecasts__v1.0.csv,2025-09-17T01:08:31.760711Z,['forecasting'],Imported existing table from results/hybrid_economic_forecasts.csv,
428ea3b4-c95b-40da-a412-847bf141a20c,table,forecasting,lstm_forecasts,v1.0,forecasting__lstm_forecasts__v1.0.csv,tables/forecasting__lstm_forecasts__v1.0.csv,2025-09-17T01:08:31.764335Z,['forecasting'],Imported existing table from results/lstm_forecasts.csv,
d14d9d02-43ec-49b3-89c4-ba474cc5a6cd,table,policy_analysis,policy_impact_metrics,v1.0,policy_analysis__policy_impact_metrics__v1.0.csv,tables/policy_analysis__policy_impact_metrics__v1.0.csv,2025-09-17T01:08:31.766831Z,['policy_analysis'],Imported existing table from results/policy_impact_metrics.csv,
70b962ee-78bc-4a05-917e-626a57f8113b,table,causal_inference,dml_heterogeneous_effects,v1.0,causal_inference__dml_heterogeneous_effects__v1.0.csv,tables/causal_inference__dml_heterogeneous_effects__v1.0.csv,2025-09-17T01:08:31.771450Z,['causal_inference'],Imported existing table from results/dml_heterogeneous_effects.csv,
445c6ed7-0861-437f-87f8-897b4248f85a,table,causal_inference,causal_forest_heterogeneous_effects,v1.0,causal_inference__causal_forest_heterogeneous_effects__v1.0.csv,tables/causal_inference__causal_forest_heterogeneous_effects__v1.0.csv,2025-09-17T01:08:31.776267Z,['causal_inference'],Imported existing table from results/causal_forest_heterogeneous_effects.csv,
0b5b1fef-a51b-480c-bafc-23f4116179a0,table,causal_inference,dml_feature_importance,v1.0,causal_inference__dml_feature_importance__v1.0.csv,tables/causal_inference__dml_feature_importance__v1.0.csv,2025-09-17T01:08:31.778403Z,['causal_inference'],Imported existing table from results/dml_feature_importance.csv,
7a1d9943-a3d3-4d33-8899-c27095b0e4a2,table,policy_analysis,policy_scenario_analysis,v1.0,policy_analysis__policy_scenario_analysis__v1.0.csv,tables/policy_analysis__policy_scenario_analysis__v1.0.csv,2025-09-17T01:08:31.780471Z,['policy_analysis'],Imported existing table from results/policy_scenario_analysis.csv,
5be2812d-3395-40b0-8eac-6ccf623923c1,table,causal_inference,causal_forest_feature_importance,v1.0,causal_inference__causal_forest_feature_importance__v1.0.csv,tables/causal_inference__causal_forest_feature_importance__v1.0.csv,2025-09-17T01:08:31.783014Z,['causal_inference'],Imported existing table from results/causal_forest_feature_importance.csv,
7269ad01-e7a1-4fb9-be0e-53fd4f87f941,table,policy_analysis,causal_forest_policy_recommendations,v1.0,policy_analysis__causal_forest_policy_recommendations__v1.0.csv,tables/policy_analysis__causal_forest_policy_recommendations__v1.0.csv,2025-09-17T01:08:31.785387Z,['policy_analysis'],Imported existing table from results/causal_forest_policy_recommendations.csv,
4ab22d29-2371-4196-abfe-e7e41ae56c36,model,forecasting,lstm_forecaster,v1.0,forecasting__lstm_forecaster__v1.0.h5,models/forecasting__lstm_forecaster__v1.0.h5,2025-09-17T01:08:31.788329Z,['forecasting'],Imported existing model artifact from models/lstm_forecaster.h5,
